style_id,style_name,category,price_level,true_state,base_popularity,recommend_bucket,mapped_sim_style_id
xhs-68eccc7b000000000701471d,高级气质裸色通勤美甲,温柔感,mid,Stable,155.292,potential,S0148
xhs-69ff12cb0000000035033239,清冷雾霾蓝猫眼星星美甲,高级感,mid,Potential,19.859,potential,S0291
xhs-6a10353a000000000702145d,夏日清透米菲兔美甲,手绘,mid,Cold_FirstLook,99.123,cold,S0197
xhs-68a6b389000000001d00becb,香槟金猫眼钻饰法式美甲,钻饰,mid,ColdDown,196.219,potential,S0241
xhs-687f5779000000000d027d0a,夏日果汁法式显白短甲,ins风,mid,Cold_Detail,221.896,cold,S0204
xhs-69daf7ce0000000021012ef8,夏日黄色系简约美甲,夏日,mid,Stable,90.049,cold,S0170
xhs-6a054cc6000000003703516a,蓝白猫眼格纹复古短甲,猫眼,mid,Cold_AfterTryon,88.783,cold,S0121
xhs-69c22f7b000000002102dccf,春日薄荷绿雏菊短甲,猫眼,mid,Stable,201.231,cold,S0088
xhs-69eaf91c000000001901e004,夏日浅蓝渐变清透美甲,高级感,mid,Stable,190.307,cold,S0268
xhs-69dddbcc0000000021011c74,甜酷蝴蝶结纯欲风美甲,温柔感,mid,Cold_AfterWant,121.598,cold,S0106
xhs-69c3380e000000001a023109,春日蝴蝶星光渐变美甲,温柔感,mid,HotUp,144.682,cold,S0165
xhs-68a6a1cf000000001b03e775,夏日温柔高级感美甲合集,温柔感,mid,HotUp,102.807,cold,S0021
xhs-6a106184000000003700d631,ins感海盐蓝星星波点法式美甲,法式,mid,Cold_FirstLook,354.721,cold,S0264
xhs-6a11884f00000000070237d6,甜酷少女黑粉配色小煤球美甲,个性风,mid,HotUp,263.725,cold,S0242
xhs-69f72ee2000000001a02ce47,超可爱奶黄色小鸡手绘短甲,手绘,mid,Stable,383.492,cold,S0206
xhs-69ccf2040000000022028076,春日限定奶绿小花温柔渐变美甲,高级感,mid,HotUp,165.688,cold,S0069
xhs-69c9d419000000002103986a,春日限定甜妹蝴蝶结法式美甲,温柔感,mid,Cold_AfterTryon,78.053,cold,S0107
xhs-6a04794400000000060323de,仙女们帮忙投票选夏日美甲款,精选,mid,Stable,163.311,cold,S0120
xhs-68e20d380000000003013d9b,温柔感满分的晨露白月光美甲,温柔感,mid,Stable,135.245,cold,S0290
xhs-6936c776000000001b02312e,秋冬美甲极限五选一，纠结中,秋冬,mid,Stable,94.993,cold,S0018
xhs-6a0d22d3000000000603289b,夏日果冻海猫眼美甲，温柔高级,猫眼,mid,HotUp,117.117,cold,S0173
xhs-69b7c8240000000020038f00,夏日限定海洋风猫眼格纹海星美甲,猫眼,mid,Stable,382.225,cold,S0213
xhs-69b3e23d000000002103a258,ins极简线条猫眼美甲，气质温柔,猫眼,mid,Stable,226.667,cold,S0261
xhs-69ca5aa9000000001a02e3e0,闪耀仲夏夜碎钻猫眼飘带美甲,钻饰,mid,HotUp,67.765,cold,S0286
xhs-69d62b000000000023010380,春日约会本命裸粉闪爱心美甲,温柔感,mid,Stable,129.731,cold,S0182
xhs-692bbcaa000000001b0233b4,被问爆的自然贴合穿戴甲，宛如本甲,穿戴甲,mid,HotUp,134.161,cold,S0095
xhs-69f839ad00000000380235b9,四线小城顶级美甲店花朵款,花朵,mid,Stable,163.607,cold,S0026
xhs-6a0b18b1000000003601e8e7,夏日清透树莓粉猫眼美甲,猫眼,high,HotUp,145.939,cold,S0046
xhs-69d46328000000001d019b17,莫奈黄昏油画感日出美甲,手绘,mid,HotUp,289.409,cold,S0035
xhs-69e61cf40000000021039197,甜美系蓝色小猫美甲,精选,mid,Cold_AfterWant,100.596,cold,S0234
xhs-6a12b1dc0000000035031abb,夏日玻璃珠猫眼美甲,温柔感,mid,Stable,143.592,cold,S0193
xhs-69fddad000000000360013de,甜酷风格线条美甲,短甲,mid,Stable,136.985,cold,S0061
xhs-69d8a2ba000000001a0253b1,清新薄荷绿小猫美甲,精选,mid,Stable,99.34,cold,S0172
xhs-68c54c57000000001c0058e7,油画感莫奈睡莲钻饰美甲,钻饰,mid,HotUp,389.284,cold,S0161
xhs-69cdd931000000001a02264b,把童话画在指尖的可爱美甲,精选,mid,Stable,144.356,cold,S0196
xhs-69761054000000001a037e3f,简约裸色猫眼，意外好看,猫眼,mid,Stable,266.945,cold,S0177
xhs-69b69c3a0000000028009a19,彩色美甲，点亮指尖心情,短甲,mid,Stable,140.71,cold,S0001
